# mean	std
8.386274218750000000e+04 3.458700000000000000e+04
7.556589843750000000e+04 3.091407226562500000e+04
6.660742187500000000e+04 2.698714062500000000e+04
5.858994140625000000e+04 2.350512109375000000e+04
5.197332421875000000e+04 2.065724218750000000e+04
4.693675000000000000e+04 1.850994726562500000e+04
4.313608593750000000e+04 1.690128515625000000e+04
4.015702343750000000e+04 1.565145019531250000e+04
3.758558984375000000e+04 1.458206347656250000e+04
3.511476171875000000e+04 1.356855761718750000e+04
3.259736914062500000e+04 1.255345703125000000e+04
3.002911718750000000e+04 1.153742968750000000e+04
2.749557226562500000e+04 1.055301171875000000e+04
2.513205273437500000e+04 9.650460937500000000e+03
2.302101171875000000e+04 8.855349609375000000e+03
2.122947070312500000e+04 8.185759277343750000e+03
1.975282421875000000e+04 7.634718261718750000e+03
1.856055859375000000e+04 7.185870117187500000e+03
1.758340820312500000e+04 6.812277832031250000e+03
1.674129101562500000e+04 6.486076660156250000e+03
1.597089257812500000e+04 6.186922851562500000e+03
1.522697265625000000e+04 5.901174316406250000e+03
1.449207714843750000e+04 5.626224609375000000e+03
1.375914648437500000e+04 5.359977050781250000e+03
1.304517871093750000e+04 5.106318359375000000e+03
1.236649707031250000e+04 4.869617675781250000e+03
1.173654296875000000e+04 4.651155761718750000e+03
1.116593847656250000e+04 4.451907226562500000e+03
1.065431347656250000e+04 4.269873535156250000e+03
1.019782128906250000e+04 4.103427734375000000e+03
9.784764648437500000e+03 3.949182128906250000e+03
9.402038085937500000e+03 3.803894775390625000e+03
9.043594726562500000e+03 3.667085449218750000e+03
8.703675781250000000e+03 3.538104980468750000e+03
8.378491210937500000e+03 3.416399658203125000e+03
8.067154785156250000e+03 3.302549804687500000e+03
7.768753417968750000e+03 3.196023681640625000e+03
7.487267089843750000e+03 3.097517578125000000e+03
7.221874023437500000e+03 3.006035156250000000e+03
6.971781738281250000e+03 2.920280273437500000e+03
6.736420410156250000e+03 2.839554443359375000e+03
6.512762207031250000e+03 2.762422607421875000e+03
6.300540527343750000e+03 2.689017089843750000e+03
6.098444824218750000e+03 2.619394287109375000e+03
5.905232421875000000e+03 2.553237060546875000e+03
5.721341796875000000e+03 2.490802734375000000e+03
5.546604492187500000e+03 2.432535156250000000e+03
5.382230468750000000e+03 2.379655273437500000e+03
5.227305175781250000e+03 2.331875732421875000e+03
5.081213378906250000e+03 2.288560791015625000e+03
4.944427734375000000e+03 2.250177490234375000e+03
4.815678222656250000e+03 2.216527587890625000e+03
4.693490722656250000e+03 2.186052978515625000e+03
4.577157714843750000e+03 2.158719238281250000e+03
4.465864746093750000e+03 2.134530761718750000e+03
4.358603515625000000e+03 2.112000488281250000e+03
4.255765136718750000e+03 2.092266845703125000e+03
4.157131835937500000e+03 2.075135742187500000e+03
4.062980712890625000e+03 2.060367431640625000e+03
3.974589843750000000e+03 2.049978027343750000e+03
3.891559326171875000e+03 2.042786376953125000e+03
3.814913818359375000e+03 2.040516601562500000e+03
3.744036376953125000e+03 2.042454711914062500e+03
3.678695556640625000e+03 2.048842041015625000e+03
3.618668945312500000e+03 2.059923095703125000e+03
3.562440917968750000e+03 2.074030517578125000e+03
3.510030517578125000e+03 2.092222412109375000e+03
3.459883544921875000e+03 2.112138671875000000e+03
3.412998779296875000e+03 2.135907714843750000e+03
3.368048339843750000e+03 2.161321777343750000e+03
3.326336669921875000e+03 2.190818603515625000e+03
3.286904296875000000e+03 2.222364501953125000e+03
3.251541748046875000e+03 2.258855712890625000e+03
3.219491699218750000e+03 2.298447265625000000e+03
3.192314453125000000e+03 2.344087402343750000e+03
3.168702880859375000e+03 2.393548339843750000e+03
3.306033984375000000e+04 1.248201953125000000e+04
3.052841796875000000e+04 1.139440820312500000e+04
2.725160742187500000e+04 1.006816503906250000e+04
2.404575195312500000e+04 8.813846679687500000e+03
2.120792578125000000e+04 7.726488769531250000e+03
1.887045703125000000e+04 6.839274902343750000e+03
1.694894921875000000e+04 6.107798339843750000e+03
1.532022558593750000e+04 5.489541503906250000e+03
1.388258691406250000e+04 4.951887695312500000e+03
1.256984765625000000e+04 4.481703613281250000e+03
1.136890234375000000e+04 4.081401855468750000e+03
1.028905371093750000e+04 3.754960205078125000e+03
9.342305664062500000e+03 3.494966308593750000e+03
8.533717773437500000e+03 3.292857177734375000e+03
7.837156250000000000e+03 3.127292968750000000e+03
7.228669921875000000e+03 2.978672119140625000e+03
6.675484375000000000e+03 2.831670898437500000e+03
6.151739746093750000e+03 2.676575683593750000e+03
5.648155761718750000e+03 2.513901123046875000e+03
5.168687988281250000e+03 2.354997314453125000e+03
4.722198242187500000e+03 2.209407714843750000e+03
4.322217773437500000e+03 2.083870605468750000e+03
3.989411865234375000e+03 1.987442016601562500e+03
3.723565429687500000e+03 1.917641235351562500e+03
3.514202392578125000e+03 1.866595825195312500e+03
3.346962158203125000e+03 1.830367553710937500e+03
3.200831542968750000e+03 1.799557373046875000e+03
3.056148681640625000e+03 1.765544799804687500e+03
2.897932128906250000e+03 1.724205932617187500e+03
2.722744873046875000e+03 1.675801269531250000e+03
2.533751953125000000e+03 1.622875122070312500e+03
2.338951660156250000e+03 1.569161376953125000e+03
2.149631103515625000e+03 1.518753906250000000e+03
1.974629272460937500e+03 1.474523681640625000e+03
1.821306762695312500e+03 1.438304321289062500e+03
1.694796997070312500e+03 1.411111572265625000e+03
1.592487548828125000e+03 1.392204101562500000e+03
1.509368530273437500e+03 1.380138061523437500e+03
1.438109497070312500e+03 1.372822021484375000e+03
1.371379028320312500e+03 1.367992065429687500e+03
1.304123779296875000e+03 1.363868896484375000e+03
1.232713623046875000e+03 1.359780273437500000e+03
1.157431030273437500e+03 1.356583251953125000e+03
1.080527221679687500e+03 1.355891601562500000e+03
1.004049560546875000e+03 1.357964965820312500e+03
9.311569824218750000e+02 1.362434936523437500e+03
8.652042846679687500e+02 1.371029174804687500e+03
8.099240722656250000e+02 1.387436767578125000e+03
7.660709228515625000e+02 1.411900390625000000e+03
7.323941040039062500e+02 1.441980834960937500e+03
7.083881835937500000e+02 1.480063354492187500e+03
6.924146728515625000e+02 1.527894897460937500e+03
6.802945556640625000e+02 1.580097167968750000e+03
